month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
69,77761.64279682754,1342.5038897715258,1342.5038897715258,100,90061.74740294117,6900,0,53359.94360004114,24401.69919678639,0.0,0.0,8517
70,76591.72264386997,1344.7211440936276,1344.7211440936276,100,91406.46854703479,7000,0,52702.50408403426,23889.2185598357,0.0,0.0,8517
71,76389.71282399227,1346.9420603915094,1346.9420603915094,100,92753.4106074263,7100,0,53725.4885220463,22664.22430194597,0.0,0.0,8517
72,78971.9989564109,1349.1666447132218,1349.1666447132218,100,94102.57725213951,7200,0,56980.37282661327,21991.626129797627,0.0,0.0,8517
73,76016.53000322245,1351.3949031168047,1351.3949031168047,100,95453.97215525631,7300,0,54601.97006866616,21414.559934556273,0.0,0.0,8517
74,76374.74919452531,1353.6268416703026,1353.6268416703026,100,96807.59899692662,7400,0,56123.74274129609,20251.006453229234,0.0,0.0,8517
75,75317.99330163306,1355.8624664517827,1355.8624664517827,100,98163.46146337841,7500,0,55253.15996874859,20064.83333288449,0.0,0.0,8517
76,73903.78165018676,1358.1017835493499,1358.1017835493499,100,99521.56324692776,7600,0,54104.89330588478,19798.888344302,0.0,0.0,8517
77,70241.72866594495,1360.3447990611644,1360.3447990611644,100,100881.90804598892,7700,0,50897.356746005535,19344.371919939396,0.0,0.0,8517
78,68151.2330499569,1362.5915190954581,1362.5915190954581,100,102244.49956508438,7800,0,49273.989405532375,18877.24364442453,0.0,0.0,8517
79,69255.21479309836,1364.8419497705513,1364.8419497705513,100,103609.34151485492,7900,0,50772.3703406326,18482.844452465753,0.0,0.0,8517
80,67437.34726774751,1367.0960972148687,1367.0960972148687,100,104976.4376120698,8000,0,49559.99079690174,17877.356470845785,0.0,0.0,8517
81,69438.41193944473,1369.353967566957,1369.353967566957,100,106345.79157963676,8100,0,51620.33135496864,17818.080584476094,0.0,0.0,8517
82,67020.7238113698,1371.6155669755008,1371.6155669755008,100,107717.40714661226,8200,0,49569.37945048334,17451.344360886436,0.0,0.0,8517
83,64209.12900456957,1373.8809015993402,1373.8809015993402,100,109091.2880482116,8300,0,47477.005068367376,16732.12393620219,0.0,0.0,8517
84,61513.31542715521,1376.149977607487,1376.149977607487,100,110467.4380258191,8400,0,45447.01727590397,16066.298151251242,0.0,0.0,8517
85,58571.426420152166,1378.4228011791415,1378.4228011791415,100,111845.86082699824,8500,0,43370.11710968213,15201.309310470044,0.0,0.0,8517
86,60615.88662471121,1380.6993785037096,1380.6993785037096,100,113226.56020550194,8600,0,45723.53522446015,14892.351400251056,0.0,0.0,8517
87,60955.43565614729,1382.979715780819,1382.979715780819,100,114609.53992128276,8700,0,46133.3828696484,14822.052786498896,0.0,0.0,8517
88,59899.42620735615,1385.2638192203376,1385.2638192203376,100,115994.80374050309,8800,0,45157.4129517315,14742.013255624646,0.0,0.0,8517
89,57287.76732726784,1387.5516950423885,1387.5516950423885,100,117382.35543554548,8900,0,43286.980793961964,14000.786533305873,0.0,0.0,8517
90,52557.90849295208,1389.8433494773683,1389.8433494773683,100,118772.19878502285,9000,0,38508.24647935569,14049.662013596397,0.0,0.0,8517
91,52866.668116410125,1392.1387887659632,1392.1387887659632,100,120164.33757378881,9100,0,39573.35745610949,13293.31066030064,0.0,0.0,8517
92,55506.38963496275,1394.438019159167,1394.438019159167,100,121558.77559294798,9200,0,42486.539634954264,13019.850000008482,0.0,0.0,8517
93,53691.684245106866,1396.741046918297,1396.741046918297,100,122955.51663986627,9300,0,41420.78337762619,12270.90086748068,0.0,0.0,8517
94,49931.18255077467,1399.0478783150115,1399.0478783150115,100,124354.56451818129,9400,0,38181.902667126415,11749.279883648249,0.0,0.0,8517
95,51584.22314110453,1401.3585196313277,1401.3585196313277,100,125755.92303781261,9500,0,39981.206332487694,11603.016808616829,0.0,0.0,8517
96,51876.49160683394,1403.6729771596374,1403.6729771596374,100,127159.59601497225,9600,0,40619.646295667626,11256.845311166313,0.0,0.0,8517
97,49229.70394081613,1405.991257202725,1405.991257202725,100,128565.58727217498,9700,0,38057.31517563004,11172.388765186077,0.0,0.0,8517
98,47491.704213275654,1408.3133660737842,1408.3133660737842,100,129973.90063824876,9800,0,36740.38115976592,10751.323053509735,0.0,0.0,8517
99,42077.493283982236,1410.639310096436,1410.639310096436,100,131384.5399483452,9900,0,31508.63771069473,10568.855573287507,0.0,0.0,8517
100,41781.437814424586,1412.969095604745,1412.969095604745,100,132797.50904394995,10000,0,31619.197752305365,10162.240062119217,0.0,0.0,8517
101,38756.48390947695,1415.3027289432368,1415.3027289432368,100,134212.81177289318,10100,0,29264.196187581794,9492.28772189515,0.0,0.0,8517
102,38760.26581808519,1417.6402164669162,1417.6402164669162,100,135630.4519893601,10200,0,29577.513315480013,9182.752502605166,0.0,0.0,8517
103,38868.098119657785,1419.981564541283,1419.981564541283,100,137050.43355390138,10300,0,29828.817405889888,9039.280713767897,0.0,0.0,8517
104,38375.342703700924,1422.3267795423508,1422.3267795423508,100,138472.76033344373,10400,0,29834.08361727212,8541.259086428805,0.0,0.0,8517
105,35678.36862056584,1424.6758678566634,1424.6758678566634,100,139897.43620130038,10500,0,27557.692216781907,8120.676403783932,0.0,0.0,8517
106,34834.70687147627,1427.0288358813125,1427.0288358813125,100,141324.4650371817,10600,0,26895.94749459224,7938.759376884033,0.0,0.0,8517
107,34406.48786718995,1429.385690023955,1429.385690023955,100,142753.85072720566,10700,0,26619.203387596655,7787.284479593289,0.0,0.0,8517
108,35456.12137200996,1431.746436702831,1431.746436702831,100,144185.5971639085,10800,0,27991.483338474245,7464.638033535719,0.0,0.0,8517
109,34151.26307051245,1434.1110823467804,1434.1110823467804,100,145619.7082462553,10900,0,27035.541104135402,7115.721966377045,0.0,0.0,8517
110,32478.13644133715,1436.4796333952609,1436.4796333952609,100,147056.18787965056,11000,0,25575.066296012115,6903.070145325034,0.0,0.0,8517
111,30799.27657665503,1438.8520962983657,1438.8520962983657,100,148495.03997594892,11100,0,24144.81584383582,6654.460732819203,0.0,0.0,8517
112,28618.648612146255,1441.2284775168407,1441.2284775168407,100,149936.26845346577,11200,0,22156.198845933064,6462.449766213192,0.0,0.0,8517
113,27251.807970221373,1443.6087835221024,1443.6087835221024,100,151379.87723698787,11300,0,21080.474316063082,6171.33365415829,0.0,0.0,8517
114,28228.85423680312,1445.9930207962552,1445.9930207962552,100,152825.87025778412,11400,0,22271.13155855067,5957.722678252445,0.0,0.0,8517
115,27346.613910152697,1448.3811958321094,1448.3811958321094,100,154274.25145361622,11500,0,21761.070793958494,5585.543116194206,0.0,0.0,8517
